T-1;P10001;B1;2025-12-06;2025-12-20;2025-12-06
T-2;P10001;B1;2025-12-06;2025-12-27;2025-12-06
T-3;P10001;B1;2025-12-06;2025-12-20;2025-12-06
T-4;P10002;B3;2025-12-06;2025-12-20;2025-12-06
T-5;P10003;B1;2025-12-06;2025-12-20;2025-12-06
T-6;P10001;B1;2025-12-06;2025-12-27;2025-12-16
T-7;P10002;B1;2025-12-16;2025-12-30;2025-12-16
T-8;P10001;B2;2025-12-16;2026-01-06;2025-12-16
T-9;P10003;B5;2025-12-16;2025-12-30;2025-12-16
T-10;P10003;B2;2025-12-16;2025-12-30;2025-12-16
T-11;P10003;B4;2025-12-16;2025-12-30;2025-12-16
T-12;P10002;B4;2025-12-16;2025-12-30;2025-12-16
T-13;P10001;B2;2025-12-17;2025-12-31;2025-12-17
T-14;P10004;B9;2025-12-17;2025-12-31;2025-12-17
T-15;P10001;B9;2025-12-17;2025-12-31;2025-12-17
T-16;P10001;B2;2025-12-17;2025-12-31;2025-12-17
T-17;P10005;B6;2025-12-17;2026-01-07;2025-12-17
T-18;P10003;B6;2025-12-17;2025-12-31;2025-12-17
T-19;P10001;B3;2025-12-17;2025-12-31;2025-12-17
T-20;P10001;B9;2025-12-17;2025-12-31;2025-12-17
T-21;P10003;B7;2025-12-17;2025-12-31;2025-12-17
T-22;P10001;B3;2025-12-17;2025-12-31;2025-12-17
T-23;P10001;B3;2025-12-17;2025-12-31;2025-12-17
T-24;P10005;B7;2025-12-17;2025-12-31;2025-12-17
T-25;P10001;B7;2025-12-17;2025-12-31;2025-12-17
T-26;P10001;B7;2025-12-17;2026-01-14;null
T-27;P10001;B3;2025-12-17;2026-01-21;null
